experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people walking dogs on leashes. The cat_1 images show people holding or interacting closely with dogs, often in a more intimate or caregiving manner (e.g., bathing, cuddling, examining).\nRule: The presence of a leash connecting a person to a dog.\nTest Image: The test image shows a dog sitting and looking at the camera, wearing a collar but not connected to a leash.\nConclusion: cat_1']'
6 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images all depict motorcycle racers in action, leaning into turns during a race, with a focus on the rider and the bike's dynamic movement. The cat_1 images show motorcycles in unusual or staged scenarios - a rider giving a thumbs up, a bike with people posing around it, or a split image.\nRule: Cat_2 images show a motorcycle racer actively racing and leaning into a turn. Cat_1 images show motorcycles in non-racing contexts or staged poses.\nTest Image: The test image shows a motorcycle racer leaning into a turn during a race.\nConclusion: cat_2"]'
7 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict motorcycle racers in racing suits on racing tracks, often during a race or practice session. The cat_1 images show motorcycles in less formal settings, with people not in full racing gear, or in unusual/non-racing scenarios.\nRule: The presence of a motorcycle racer in full racing gear on a racetrack.\nTest Image: The test image shows a person on a scooter in a flooded street, with another person holding an umbrella. The person is not wearing racing gear and is not on a racetrack.\nConclusion: cat_1']'
8 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people toasting with glasses, with faces visible. The cat_1 images either show a person drinking alone, or the faces are obscured/not directly looking at the camera while toasting.\nRule: The presence of visible faces of people toasting with each other.\nTest Image: The test image shows two hands holding glasses of wine toasting, but no faces are visible.\nConclusion: cat_1']'
9 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show people toasting with glasses, looking at each other. The cat_1 images show people looking at the camera while holding a glass or drinking from it.\nRule: The images in cat_2 show people making eye contact while toasting.\nTest Image: The test image shows a person looking directly at the camera while holding a glass.\nConclusion: cat_1']'
10 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show people clinking glasses together, while the cat_1 images show people drinking from glasses or with glasses near them but not clinking.\nRule: Glasses are clinking together.\nTest Image: The test image shows two people clinking glasses together.\nConclusion: cat_2']'
11 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people toasting with glasses, looking at each other, and generally engaged in a celebratory interaction. The cat_1 images show people drinking from glasses, but not necessarily toasting or interacting with another person in a celebratory manner. Some are alone, or focused on something else.\nRule: The images in cat_2 show people toasting with each other.\nTest Image: The test image shows a man drinking from a glass while looking at a piece of paper. He is not toasting with anyone.\nConclusion: cat_1']'
12 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict motorcycle racing or competitive riding, often with multiple bikes visible and a focus on speed and action. The cat_1 images show motorcycles in different contexts, such as military settings, being pushed, or in a parade-like situation, lacking the competitive racing element.\nRule: The presence of competitive motorcycle racing.\nTest Image: The test image shows a single motorcycle rider in a racing position on a road, suggesting speed and potentially competition.\nConclusion: cat_2']'
13 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images depict motorcycle racing or speed events, with riders actively racing or performing stunts. The cat_1 images show motorcycles in static or non-racing scenarios, often involving military personnel or checkpoint situations.\nRule: The presence of active racing or speed event.\nTest Image: The test image shows a motorcycle stopped at a checkpoint with police officers checking documents. It is a static scene and does not depict racing or a speed event.\nConclusion: cat_1']'
14 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images all depict a skateboarder performing a trick *on* a rail or ledge, with the skateboard clearly interacting with the rail/ledge. The cat_1 images show skateboarders either standing next to a rail, holding a skateboard, or performing a trick that doesn't involve direct interaction with a rail/ledge.\nRule: The presence of a skateboarder actively performing a trick *on* a rail or ledge.\nTest Image: The test image shows a skateboarder performing a trick on a rail.\nConclusion: cat_2"]'
15 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person actively performing a skateboarding trick, in motion, often mid-air or with dynamic body positioning. The cat_1 images show people standing or posing with skateboards, not actively performing tricks.\nRule: The images in cat_2 show a person actively skateboarding/performing a trick, while cat_1 images show a person standing with a skateboard.\nTest Image: The test image shows two girls standing with skateboards, not actively performing any tricks.\nConclusion: cat_1']'
16 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show a motorcycle racing on a track with a crowd visible in the background, often with a barrier or wall alongside the track. The cat_1 images show motorcycles in different scenarios - some are starting a race with a large group, some are performing stunts, and some are in a more static pose with a focus on the rider or bike itself. The key difference appears to be whether the motorcycle is actively racing on a track with spectators.\nRule: The images in cat_2 show a motorcycle actively racing on a track with spectators visible.\nTest Image: The test image shows a motorcycle leaning into a turn on a track, with a blurred background suggesting speed and a blue barrier alongside the track.\nConclusion: cat_2']'
17 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict motorcycles in action during a race, with visible crowds in the background. The cat_1 images show motorcycles either being worked on or in a less dynamic setting, with a different focus than racing.\nRule: The presence of a motorcycle actively racing with a visible crowd.\nTest Image: The test image shows a mechanic working on a motorcycle, not in a racing context, and lacks a visible crowd watching a race.\nConclusion: cat_1']'
18 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show two or more people looking at a laptop screen. The cat_1 images show only one person using a laptop.\nRule: The number of people looking at the laptop screen. Cat_2 has two or more, cat_1 has one.\nTest Image: The test image shows one person using a laptop.\nConclusion: cat_1']'
19 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show two or more people looking at a laptop screen. The cat_1 images show only one person using a laptop.\nRule: The presence of multiple people looking at a laptop screen.\nTest Image: The test image shows one person using a laptop.\nConclusion: cat_1']'
20 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show motorcycles racing on a track, often with multiple bikes visible and in close proximity. The cat_1 images show motorcycles being cleaned or in a static position, not actively racing.\nRule: The presence of multiple motorcycles actively racing on a track.\nTest Image: The test image shows multiple motorcycles racing on a dirt track.\nConclusion: cat_2']'
21 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all show motorcycles racing on a track, with multiple bikes visible in the frame, often in close proximity. The cat_1 images show motorcycles being cleaned or in a static position, not actively racing.\nRule: The presence of multiple motorcycles actively racing in the image.\nTest Image: The test image shows a group of motorcycles racing, with many bikes visible and dust being kicked up, indicating active racing.\nConclusion: cat_2']'
22 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The cat_2 images all feature a single motorcycle prominently in the frame, often in a racing context with a focus on the rider's action. The cat_1 images show multiple motorcycles, often in a less dynamic or racing-focused setting, or with riders in a more relaxed posture.\nRule: The number of motorcycles visible in the image. Cat_2 has one motorcycle, cat_1 has multiple.\nTest Image: The test image shows multiple motorcycles.\nConclusion: cat_1"]'
23 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict motorcycle racing, with riders actively racing on a track. The cat_1 images show motorcycles in different contexts - some are stationary, some are being worked on, and some show riders in less formal racing scenarios or with luggage.\nRule: Cat_2 images show motorcycles actively racing on a track.\nTest Image: The test image shows a person working on a motorcycle in what appears to be a garage or workshop. The motorcycle is not in a racing context.\nConclusion: cat_1']'
24 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show a person using a laptop with the screen facing the viewer. The cat_1 images show a person using a laptop with the screen facing away from the viewer or holding something in front of the screen.\nRule: The laptop screen is facing the viewer.\nTest Image: The test image shows a person using a laptop with the screen facing the viewer.\nConclusion: cat_2']'
25 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all show a person looking *at* a laptop screen. The cat_1 images show a person looking *away* from the laptop screen, or the laptop is being used as a prop and not being actively viewed.\nRule: The person in the image is looking at the laptop screen.\nTest Image: The test image shows hands typing on a laptop keyboard, but does not show a person's face or eyes, so it's impossible to tell if they are looking at the screen.\nConclusion: cat_1"]'
26 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict motorcycle racers on closed road courses, likely during a time trial or race, with visible trackside barriers and a focus on speed and lean angle. The cat_1 images show motorcycles in different settings - sidecar racing, freestyle motocross, or on what appears to be a dirt track, and generally lack the same focus on high-speed road racing.\nRule: Cat_2 images show motorcycles racing on paved closed courses with barriers, while cat_1 images show motorcycles in other racing disciplines or settings.\nTest Image: The test image shows two motorcycles racing on a dirt track.\nConclusion: cat_1']'
27 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict motorcycle racers in racing suits on racing motorcycles during a race, typically leaning into a turn. The cat_1 images show motorcycles in different contexts - freestyle, sidecar, or casual riding - and the riders are not in full racing gear.\nRule: The presence of a rider in full racing gear on a racing motorcycle during a race.\nTest Image: The test image shows multiple pictures of people riding motorcycles in casual settings, not in racing gear.\nConclusion: cat_1']'
28 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict motorcycle racing scenes with multiple bikes visible, often closely packed together during a race. The cat_1 images show motorcycles in unusual or non-racing situations - a bike in floodwater, a bike jumping, a bike with a rainbow flag, etc.\nRule: The presence of multiple motorcycles racing closely together.\nTest Image: The test image shows a motorcycle racing with another bike nearby.\nConclusion: cat_2']'
29 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images depict motorcycle racing scenes with multiple bikes visible in each image, often closely racing each other. The cat_1 images show motorcycles in more isolated or unusual situations, such as jumping, being pushed through water, or with a rainbow flag.\nRule: The presence of multiple motorcycles racing closely together.\nTest Image: The test image shows a single motorcycle performing a jump in a snowy landscape.\nConclusion: cat_1']'
30 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images all feature a skater performing a trick on a skatepark ramp or rail, with the skater's body angled and often extending beyond the edge of the structure. The cat_1 images show skaters performing tricks, but they are not on a ramp or rail, or their body is not extending beyond the edge of the structure.\nRule: The images in cat_2 show a skater performing a trick *on* a skatepark ramp or rail, with the skater's body extending beyond the edge of the structure.\nTest Image: The test image shows a skater performing a trick on a skatepark ramp, with the skater's body extending beyond the edge of the structure.\nConclusion: cat_2"]'
31 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person actively performing a skateboarding trick, in motion, with a dynamic pose. The cat_1 images show people either standing or sitting on a skateboard, or performing a non-dynamic action like reading.\nRule: The images in cat_2 show a person actively performing a skateboarding trick.\nTest Image: The test image shows a group of people sitting on skateboards, not performing any tricks.\nConclusion: cat_1']'
32 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a single motorcycle and rider, typically in a racing context, leaning into a turn. The cat_1 images show multiple motorcycles or motorcycles carrying passengers, or are not in a racing context.\nRule: Cat_2 images contain a single motorcycle and rider leaning into a turn, while cat_1 images do not.\nTest Image: The test image shows multiple motorcycles and riders racing together.\nConclusion: cat_1']'
33 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all depict professional motorcycle racers on racing bikes, typically during a race or practice session. They are wearing full racing leathers and helmets, and the bikes are high-performance racing machines. The cat_1 images show everyday motorcycles being used for transportation, often with passengers, and in non-racing contexts.\nRule: Cat_2 images show professional motorcycle racers on racing bikes, while cat_1 images show everyday motorcycles used for transportation.\nTest Image: The test image shows a professional motorcycle racer on a Ducati racing bike, wearing full racing gear.\nConclusion: cat_2']'
34 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people toasting with wine glasses, and the glasses are filled with a dark liquid (red or white wine). The cat_1 images show people drinking from glasses, but the glasses are not being used for a toast, and some contain different beverages.\nRule: The images in cat_2 show people toasting with wine glasses filled with wine.\nTest Image: The test image shows people toasting with glasses filled with an orange liquid, likely juice.\nConclusion: cat_1']'
35 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show people toasting with glasses, often looking at each other and smiling. The cat_1 images show people drinking from glasses, often looking away or with less direct interaction.\nRule: The presence of a toast - people raising glasses towards each other.\nTest Image: The test image shows a person holding a glass, but is not toasting with anyone.\nConclusion: cat_1']'
36 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people performing tricks on longboards in skateparks or bowls, with a focus on dynamic action and often a colorful, vibrant background. The cat_1 images show people standing or posing on longboards, often in more static or less dynamic poses, and sometimes with a more subdued or grayscale aesthetic.\nRule: Cat_2 images depict people actively performing tricks on longboards in a skatepark setting, while cat_1 images show people standing or posing on longboards.\nTest Image: The test image shows a person performing a trick on a longboard in a skatepark setting.\nConclusion: cat_2']'
37 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people performing tricks *on* a skateboard, actively engaged in riding or maneuvering it. The cat_1 images show people *with* a skateboard, but not actively riding or performing tricks – they are either standing beside it, holding it, or are in a static pose with the board.\nRule: The images are categorized based on whether the person is actively riding/performing a trick on the skateboard (cat_2) or simply with the skateboard but not actively riding (cat_1).\nTest Image: The test image shows a person sitting with a skateboard, and another person standing nearby. Neither person is actively riding or performing a trick on the skateboard.\nConclusion: cat_1']'
38 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a single skater performing a trick on a rail or ledge, with bystanders visible in the background. The cat_1 images either show a skater performing a trick without bystanders or show multiple skaters.\nRule: The presence of bystanders in the background while a single skater is performing a trick on a rail or ledge.\nTest Image: The test image shows a single skater performing a trick on a ledge with a building and trees in the background, but no visible bystanders.\nConclusion: cat_1']'
39 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all show a person performing a trick *on* a rail or ledge, with the skater's body positioned *above* the rail/ledge. The cat_1 images show skaters either not performing a trick on a rail/ledge, or performing a trick but with their body positioned *beside* or *under* the rail/ledge.\nRule: The presence of a skater performing a trick *on* and *above* a rail or ledge.\nTest Image: The test image shows a person sitting on a skateboard, not performing a trick on a rail or ledge.\nConclusion: cat_1"]'
40 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a person using a laptop while also interacting with a child. The cat_1 images show people using laptops without a child present or interacting with them.\nRule: The presence of a child interacting with the person using the laptop.\nTest Image: The test image shows a person using a laptop while other people are smoking in the background. There is no child present or interacting with the person using the laptop.\nConclusion: cat_1']'
41 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people using laptops while sitting on a couch or similar soft seating. The cat_1 images show people using laptops in other settings, such as at a table or while disassembling a laptop.\nRule: The presence of soft seating (couch, etc.) while using a laptop.\nTest Image: The test image shows a person sitting on a chair at a desk, surrounded by papers and a desktop computer, not a couch.\nConclusion: cat_1']'
42 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a single person performing a skateboarding trick in a skatepark or similar setting, often in mid-air. The cat_1 images show people posing with skateboards, often in groups, and not actively performing tricks.\nRule: The images in cat_2 show a person actively skateboarding/performing a trick, while cat_1 images show people posing with skateboards.\nTest Image: The test image shows a person performing a skateboarding trick in a skatepark.\nConclusion: cat_2']'
43 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a single person performing a skateboarding trick in a skatepark, often in mid-air. The cat_1 images show people posing with skateboards, or a group of people with skateboards, but not actively performing a trick.\nRule: The images in cat_2 show a single person actively performing a skateboarding trick, while cat_1 images do not.\nTest Image: The test image shows a group of children sitting in a circle with skateboards and a coach. No one is actively performing a trick.\nConclusion: cat_1']'
44 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show people entering or exiting a train from the side, with the train door visible. The cat_1 images show people inside the train, looking out of the front window or operating the train.\nRule: The presence of people entering or exiting a train from the side door.\nTest Image: The test image shows people entering or exiting a train from the side door.\nConclusion: cat_2']'
45 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images show people boarding or alighting a train from the side, with the train door visible and people interacting with the doorway. The cat_1 images show views from inside the train's cockpit/driver's cabin looking outwards.\nRule: The presence or absence of a visible train door and people interacting with it. Cat_2 has it, cat_1 doesn't.\nTest Image: The test image shows a view from inside the train's cockpit/driver's cabin looking outwards. There is no visible train door or people boarding/alighting.\nConclusion: cat_1"]'
46 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show two or more people looking at the laptop screen. The cat_1 images show only one person looking at the laptop screen.\nRule: The number of people looking at the laptop screen. Cat_2 has two or more, cat_1 has one.\nTest Image: The test image shows one person looking at the laptop screen.\nConclusion: cat_1']'
47 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all show people looking *at* a laptop screen. The cat_1 images show people interacting with the laptop in a way that doesn't involve primarily looking at the screen (e.g., typing while looking elsewhere, disassembling the laptop).\nRule: The presence of people looking at the laptop screen.\nTest Image: The test image shows a person disassembling a laptop, not looking at the screen.\nConclusion: cat_1"]'
48 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show skateboarders performing tricks on rails or ledges. The cat_1 images show skateboarders performing tricks in the air, not on rails or ledges.\nRule: The presence or absence of a rail or ledge being used for a trick.\nTest Image: The test image shows a skateboarder performing a trick within a skatepark bowl, not on a rail or ledge.\nConclusion: cat_1']'
49 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person performing a trick *on* a rail or ledge. The cat_1 images show people skateboarding, but not performing tricks on rails or ledges. Some are simply riding, posing, or looking at something else.\nRule: The presence of a person performing a trick on a rail or ledge.\nTest Image: The test image shows a person standing and holding a skateboard, looking at the camera. They are not on a rail or ledge, nor are they performing a trick.\nConclusion: cat_1']'
50 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all feature a single skateboarder performing a trick. The cat_1 images all feature multiple people, with at least one person not skateboarding, or a group of people watching a skateboarder.\nRule: The images in cat_2 contain only one person on a skateboard performing a trick, while cat_1 images contain multiple people, with at least one person not skateboarding.\nTest Image: The test image shows a single skateboarder performing a trick.\nConclusion: cat_2']'
51 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a person performing a trick *on* a skateboard, often involving airtime or a dynamic pose. The cat_1 images show people *around* a skateboarder, or a skateboarder in a more static pose, often with other people present in the frame.\nRule: The images in cat_2 show a person actively performing a trick on a skateboard, while cat_1 images show people around a skateboarder or a skateboarder in a static pose.\nTest Image: The test image shows a woman standing on a skateboard, looking at the camera, and appears to be casually riding. She is not performing a trick.\nConclusion: cat_1']'
52 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images show multiple people looking at a laptop screen. The cat_1 images show a single person using a laptop, often focused on the keyboard or internal components.\nRule: Number of people looking at the laptop screen (more than one in cat_2, one in cat_1).\nTest Image: The test image shows a single person using a laptop at a train station.\nConclusion: cat_1']'
53 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show multiple people looking at a laptop screen together. The cat_1 images show a single person working on a laptop, often disassembling it or with a baby.\nRule: The number of people interacting with the laptop. Cat_2 has multiple people, cat_1 has one person.\nTest Image: The test image shows a single person disassembling a laptop.\nConclusion: cat_1']'
54 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show a person looking over the shoulder of another person who is using a laptop. The cat_1 images do not show this dynamic; they show a single person using a laptop, or a person interacting with the internal components of a laptop.\nRule: The presence of two people, one looking over the shoulder of the other while the other is using a laptop.\nTest Image: The test image shows a young girl using a laptop, with no one looking over her shoulder.\nConclusion: cat_1']'
55 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a person looking over the shoulder of another person who is using a laptop. The cat_1 images do not have this feature; they show a single person using a laptop, or a laptop being disassembled.\nRule: The presence of two people, one looking over the shoulder of the other while the other is using a laptop.\nTest Image: The test image shows a person using a laptop, with no one looking over their shoulder.\nConclusion: cat_1']'
56 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show people boarding or alighting a train from the platform level, with a view of the train's exterior. The cat_1 images show the inside of the train's driver cabin, with a view from the driver's perspective.\nRule: The images are categorized based on the viewpoint - platform level vs. driver's cabin.\nTest Image: The test image shows people boarding/alighting a train from the platform level, similar to the cat_2 images.\nConclusion: cat_2"]'
57 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images show people boarding a train from the platform. The cat_1 images show the inside of the train's driver cabin.\nRule: The images are categorized based on the perspective - whether it's from the platform looking into the train (cat_2) or from inside the driver's cabin looking out (cat_1).\nTest Image: The test image shows the inside of a train's driver cabin, with a driver operating the controls and a view of the tracks.\nConclusion: cat_1"]'
58 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show two or more people looking at a laptop screen. The cat_1 images show a single person interacting with a laptop, often in unusual or repair-related contexts.\nRule: The presence of two or more people looking at the laptop screen.\nTest Image: The test image shows a single person looking at a laptop screen with a distressed expression.\nConclusion: cat_1']'
59 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people looking *at* a laptop screen, interacting with it visually. The cat_1 images show laptops being used in unusual or non-standard ways (repairing, on feet, on toilet, etc.) or show the laptop itself as the focus, not the user interacting with the screen.\nRule: The presence of people looking at the laptop screen.\nTest Image: The test image shows hands typing on a laptop keyboard, but does not show a face or anyone looking at the screen.\nConclusion: cat_1']'
60 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show two or more people looking at a laptop screen. The cat_1 images show a single person using a laptop, or a person presenting a laptop to a large group.\nRule: The number of people looking at the laptop screen. Cat_2 has two or more, cat_1 has one or less.\nTest Image: The test image shows two children looking at a laptop screen.\nConclusion: cat_2']'
61 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show two or more people looking at a laptop screen. The cat_1 images show only one person using a laptop.\nRule: The number of people looking at the laptop screen. Cat_2 has two or more, cat_1 has one.\nTest Image: The test image shows one person typing on a laptop.\nConclusion: cat_1']'
62 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show people looking *at* a laptop screen, while the cat_1 images show people working *on* a disassembled laptop.\nRule: The presence of a disassembled laptop. If the laptop is disassembled, it's cat_1. If the laptop is intact and people are looking at the screen, it's cat_2.\nTest Image: The test image shows people looking at a laptop screen. The laptop is intact.\nConclusion: cat_2"]'
63 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show multiple people looking at a laptop screen. The cat_1 images show a single person working on disassembling or repairing a laptop.\nRule: The number of people looking at the laptop screen. Cat_2 has more than one person, cat_1 has one person.\nTest Image: The test image shows a single person using a laptop and a phone.\nConclusion: cat_1']'
64 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people rowing boats with a single oar. The cat_1 images show boats with multiple people, or boats with sails, or people standing on/near boats but not actively rowing with a single oar.\nRule: The presence of a single person rowing a boat with a single oar.\nTest Image: The test image shows a single person rowing a boat with two oars.\nConclusion: cat_1']'
65 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people rowing boats, typically in a racing or competitive context. The cat_1 images show boats with people on board, but not actively being rowed - they are either stationary, being powered by a motor, or show people standing/walking near the boat.\nRule: The presence of someone actively rowing a boat.\nTest Image: The test image shows people on a boat, but they are not rowing. They appear to be working on the boat itself, not propelling it through the water with oars.\nConclusion: cat_1']'
66 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show people entering or exiting a train from the side, with a view of the train's interior and the platform. The cat_1 images show a view from inside the train's cabin, looking outwards, often with a focus on the driver or a person looking out the window.\nRule: Cat_2 images show people boarding/alighting from the side of the train, while cat_1 images show a view from inside the train looking outwards.\nTest Image: The test image shows people boarding/alighting from the side of the train.\nConclusion: cat_2"]'
67 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images show people entering or exiting a train from the side, with the train doors visible and people actively boarding or disembarking. The cat_1 images show people looking out of the front of the train, or the train is being driven.\nRule: The presence of people boarding or disembarking from the side of the train.\nTest Image: The test image shows people standing next to the train, but they are not actively boarding or disembarking from the side. They are standing next to the train.\nConclusion: cat_1']'
68 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people greeting each other with a high-five or a handshake. The cat_1 images depict people embracing or kissing.\nRule: The images in cat_2 show people greeting each other with a hand gesture (high-five or handshake), while cat_1 images show people in a more intimate embrace or kiss.\nTest Image: The test image shows two people shaking hands.\nConclusion: cat_2']'
69 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images depict people greeting each other with a handshake or high-five. The cat_1 images depict people kissing or embracing.\nRule: Cat_2 images show formal greetings (handshakes, high-fives), while cat_1 images show intimate gestures (kisses, hugs).\nTest Image: The test image shows a woman kissing a man on the cheek, with lipstick marks visible on his face.\nConclusion: cat_1']'
70 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict boats shaped like swans, with a prominent swan neck and head extending from the front of the boat. The cat_1 images show various types of standard boats (motorboats, sailboats, etc.) without the swan-like shape.\nRule: The presence of a swan-shaped head and neck extending from the front of the boat.\nTest Image: The test image shows a person rowing a boat that does not have a swan-shaped head or neck. It is a standard rowing boat.\nConclusion: cat_1']'
71 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict boats shaped like swans, with a prominent swan head and neck extending from the front of the boat. The cat_1 images show various types of standard boats (sailboats, motorboats, etc.) without the swan-like shape.\nRule: The presence of a swan-shaped head and neck on the boat.\nTest Image: The test image shows a person in a boat with a motor, it does not have a swan-shaped head or neck.\nConclusion: cat_1']'
72 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people shaking hands. The cat_1 images depict people kissing or hugging.\nRule: The presence of a handshake.\nTest Image: The test image shows two people facing each other without any physical contact.\nConclusion: cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people shaking hands. The cat_1 images depict people hugging or kissing.\nRule: The presence of a handshake distinguishes cat_2 from cat_1.\nTest Image: The test image shows people hugging and kissing.\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show people entering or exiting a subway train, with a focus on the crowd and the doorway. The cat_1 images show the inside of the train, often focusing on the driver's cabin or passengers seated, and do not depict people actively boarding or alighting.\nRule: The images in cat_2 show people boarding or exiting a train, while cat_1 images show the interior of the train or the driver's cabin.\nTest Image: The test image shows a group of people with luggage boarding a train.\nConclusion: cat_2"]'
75 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all show people entering or exiting a subway train, with a focus on the doorway and the crowd. The cat_1 images show the inside of a train, or a view from the driver's seat, or a person inside the train.\nRule: Cat_2 images show people interacting with the doorway of a subway train, while cat_1 images do not.\nTest Image: The test image shows people working on the exterior of a train, not entering or exiting it.\nConclusion: cat_1"]'
76 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people inside a vehicle (bus or train) looking towards the camera. The cat_1 images all show the exterior of a vehicle (bus or school bus).\nRule: The images are categorized based on whether the view is from inside the vehicle looking out (cat_2) or from outside the vehicle looking in (cat_1).\nTest Image: The test image shows the inside of a vehicle with people seated, looking away from the camera.\nConclusion: cat_2']'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people inside a bus looking towards the camera. The cat_1 images all show the exterior of a bus.\nRule: The presence of people inside the bus looking towards the camera.\nTest Image: The test image shows the exterior of a bus.\nConclusion: cat_1']'
78 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict boats being propelled by oars, without any sails. The cat_1 images all depict boats with sails.\nRule: Presence or absence of sails. Cat_2 has no sails, cat_1 has sails.\nTest Image: The test image shows a boat being propelled by oars, with no sails present.\nConclusion: cat_2']'
79 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict boats being propelled by a single oar/paddle. The cat_1 images all depict boats with sails.\nRule: Presence of a single oar/paddle vs. presence of a sail.\nTest Image: The test image shows a boat with a sail.\nConclusion: cat_1']'
