experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  prompt method: direct
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
431 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
432 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
433 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
434 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
435 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
436 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
437 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
438 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
439 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
440 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
441 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
442 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
443 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
444 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
445 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
446 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
447 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
448 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
449 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
450 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
451 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
452 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
453 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
454 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
455 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
456 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
457 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
458 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
459 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
460 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
461 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
462 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
463 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
464 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
465 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
466 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
467 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
468 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
469 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
470 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
471 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
472 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
473 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
474 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
475 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
476 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
477 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
478 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
479 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
480 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
481 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
482 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
483 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
484 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
485 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
486 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
487 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
488 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
489 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
490 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
491 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
492 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
493 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
494 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
495 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
496 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
497 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
498 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
499 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
---------------------------------------
Summary for Split 'test':
 results: {'correct': {'cat_1': 234, 'cat_2': 146}, 'incorrect': {'cat_1': 16, 'cat_2': 104}}
 accuracy: 76.00%

---------------------------------------
